Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,week,year,weeks
2022-04-08,24.0,29.8,25.9,86.0,19.9,3.2,3.0,180.0,2.0,1,31,2022,2022-04-04
2022-05-08,23.6,31.5,28.2,81.0,1.3,0.0,6.0,80.0,4.0,1,31,2022,2022-05-02
2022-06-08,24.8,31.8,28.0,80.0,0.3,2.7,3.0,70.0,2.0,1,31,2022,2022-06-06
2022-07-08,25.0,31.0,28.3,79.0,0.0,3.7,8.0,80.0,3.0,1,31,2022,2022-07-04
2022-08-08,26.0,32.1,29.0,74.0,0.0,4.2,5.0,90.0,2.0,1,32,2022,2022-08-08
2022-09-08,26.2,32.6,29.1,74.0,213.02238562091503,9.0,5.0,80.0,2.0,1,32,2022,2022-09-05
2022-10-08,26.2,32.0,28.7,76.0,0.0,8.8,4.0,80.0,2.0,1,32,2022,2022-10-03
2022-11-08,26.1,32.2,28.8,74.0,0.0,8.7,6.0,70.0,1.0,0,32,2022,2022-11-07
2022-12-08,26.0,33.2,30.0,78.0,0.6,10.4,3.0,50.0,2.0,3,32,2022,2022-12-05
2022-08-13,25.6,30.9,28.0,79.0,2.1,7.7,5.0,80.0,2.0,1,32,2022,2022-08-08
2022-08-14,25.6,32.4,29.3,75.0,0.0,5.3,4.0,80.0,2.0,1,32,2022,2022-08-08
2022-08-15,25.8,32.2,28.7,75.0,0.0,9.2,6.0,250.0,3.0,3,33,2022,2022-08-15
2022-08-16,24.3,31.4,28.0,74.0,11.7,9.5,3.0,160.0,2.0,0,33,2022,2022-08-15
2022-08-17,25.0,30.8,28.0,79.0,0.0,4.0,4.0,90.0,2.0,1,33,2022,2022-08-15
2022-08-18,22.6,29.8,25.9,86.0,50.7,4.6,3.0,170.0,1.0,0,33,2022,2022-08-15
2022-08-19,24.1,31.5,28.2,80.0,0.8,2.0,5.0,280.0,3.0,1,33,2022,2022-08-15
2022-08-20,24.0,31.9,27.4,81.0,4.3,10.4,5.0,320.0,2.0,0,33,2022,2022-08-15
2022-08-21,24.6,30.3,27.2,84.0,7.6,1.5,6.0,90.0,2.0,0,33,2022,2022-08-15
2022-08-22,23.8,31.8,27.2,80.0,35.5,1.4,3.0,300.0,1.0,0,34,2022,2022-08-22
2022-08-23,24.7,29.6,26.7,83.0,3.4,8.0,5.0,110.0,2.0,0,34,2022,2022-08-22
2022-08-24,24.5,31.4,28.4,80.0,1.7,1.9,4.0,80.0,2.0,1,34,2022,2022-08-22
2022-08-25,25.9,31.6,28.3,78.0,0.0,7.7,4.0,130.0,2.0,5,34,2022,2022-08-22
2022-08-26,26.0,30.7,28.1,82.0,27.9,5.0,5.0,130.0,2.0,1,34,2022,2022-08-22
